headline,lead_paragraph,date
A ‘Plastic Juncture’ in World Affairs,"AS President Barack Obama enters his second term, the state of the world is unsettled. The leading powers are beset with economic crises or are in various states of political transition or gridlock. The Middle East is undergoing political upheaval. Tensions are rising in Asia. The world’s institutions — whether the United Nations, the Group of 20 or the European Union — are weakened and dysfunctional. The liberal world order established after World War II is fraying at the edges.",2013-01-20 11:27:21+00:00
London College Steps Up to University Level,"LONDON — Looking out the window of his book-lined office, it is easy to imagine Aldwyn Cooper as the president of a small liberal arts college somewhere in the wilds of New England. There is the snow falling gently on the leafy campus outside, amid the bustle of students walking between classes.",2013-01-20 20:12:08+00:00
"Pursuing Ambitious Global Goals, but Strategy is More","WASHINGTON — Not quite nine months into his presidency, Barack Obama woke to the news that he had won the Nobel Peace Prize — not for anything yet accomplished, but for the promise that he would end the Iraq war, win the “war of necessity” in Afghanistan, move toward the elimination of nuclear weapons, tackle climate change and engage America’s adversaries.",2013-01-21 03:02:37+00:00
Is 2013 the New 1913?,"BEIJING — It’s a provocative idea — and a disturbing one. The world in 2013 looks “eerily” like the world in 1913, writes Charles Emmerson, a senior research fellow at Chatham House.",2013-01-21 06:26:44+00:00
Diplomacy Is Dead,London,2013-01-21 12:39:53+00:00
China’s Information Challenge,"EVEN on the best of days, China’s leaders are a risk-averse bunch. So when anti-censorship protests erupted in China on Jan. 7 and spread quickly through cyberspace, the state laid down the law: “The party has absolute control over the media, and this principle is unshakable,” declared an “urgent memo” from the Central Propaganda Department.",2013-01-22 12:19:39+00:00
Break All the Rules,"First, my congratulations and condolences to John Kerry for being nominated to be our next secretary of state. There is no one better for the job today and no worse job to have today. It is no accident that we’ve started measuring our secretaries of state more by miles traveled than milestones achieved. It is bloody hard to do big diplomacy anymore. ",2013-01-23 01:33:07+00:00
North Korea Issues Blunt New Threat to United States,"WASHINGTON — A blunt and explicit threat on Thursday from North Korea that its weapons programs would “target” the United States, and that it would proceed with a third and “higher-level” nuclear test, poses a stark challenge to the Obama administration at a time when it hoped to focus its major diplomatic effort on restraining Iran’s less-advanced nuclear program. ",2013-01-24 06:07:55+00:00
Dealing With Two Russias,"TWO Russias are emerging — one seeking freedom and prosperity, the other focused on patriotism and populism. In the first, people can travel abroad, buy and sell their homes and keep money securely in banks. In the other Russia, President Vladimir Putin stifles dissent, alleges NATO missile defense threats, and seeks to ensnare former Soviet neighbors in an unequal Eurasian union. A new diplomacy that deals effectively with both Russias is essential.",2013-01-24 12:11:25+00:00
U.S. Envoy Apologizes for Ship’s Grounding on Philippine Coral Reef,"MANILA — The United States ambassador to the Philippines apologized Friday for the grounding of an American naval ship on a reef in a marine sanctuary, the latest in a string of embarrassing episodes for the United States military in the country at a time when the administration is pushing a “pivot” to Asia and the American military has increased its presence in the Philippines.",2013-01-25 08:47:14+00:00
Week in Review: Rumble on Basic Cable,"Hedge fund magnates take their feud to CNBC. | A sign to Wall Street in Obama’s picks for regulators. | Goldman overcomes its latest headache. | Jesse Eisinger of ProPublica on a suit that hints at behavior by bankers in a bubble. | Microsoft may back a Dell buyout. | Andrew Ross Sorkin says that prophecies made in Davos don’t always come true. | Its tax edge on thin ice, private equity is regrouping. | Looking skyward in Asia.",2013-01-25 20:54:42+00:00
The Clinton Doctrine of American Foreign Policy,"The partisan political theater, of course, was top-notch. Senator Rand Paul’s declaration that he would have fired Hillary Rodham Clinton; her angry rebuttal of Senator Ron Johnson’s insistence that the Obama administration misled the American people about the Benghazi attack; Senator John McCain’s continued outrage at the slapdash security the State Department provided its employees.",2013-01-27 10:00:25+00:00
"In Beijing, No Tears Over Clinton’s Departure","BEIJING — It’s a badly kept secret in Beijing that quite a few Chinese officials, including very senior ones, never warmed to Hillary Rodham Clinton. How much of that is because she is an outspoken supporter of women’s rights is unclear, but it is almost certainly a factor: China is run by men (literally — there is not a single woman in the inner circle of power, the Standing Committee of the Politburo), and women have little policy input, whether on domestic or global issues.",2013-01-28 06:36:40+00:00
"Workers of the World, Sit Tight","For 25 years, Monty Newcomb has worked at the same chemical plant in Calvert City, Ky., making products that hold pills together and remove sediment from beer. In his early years, Newcomb watched his union, the International Association of Machinists and Aerospace Workers, lose one battle after another in its ongoing struggle with management. In the ’80s and ’90s, workers throughout the country justifiably feared that their plants might close and move to a union-free state. Or that they might simply import products from low-wage, nonunionized countries like Mexico and China. Newcomb told me that at his company, International Specialty Products, workers were disgruntled and the work suffered — for example, more than 20 percent of one chemical they produced didn’t pass inspection.",2013-01-29 10:00:08+00:00
Memo to Washington: Foreign Policy Begins Abroad,London,2013-02-01 12:29:16+00:00
"Backstage Glimpses of Clinton as Dogged Diplomat, Win or Lose","WASHINGTON — Last summer, as the fighting in Syria raged and questions about the United States’ inaction grew, Secretary of State Hillary Rodham Clinton conferred privately with David H. Petraeus, the director of the C.I.A. The two officials were joining forces on a plan to arm the Syrian resistance.",2013-02-02 17:40:28+00:00
Japanese Premier Won’t Take Step in Relocating U.S. Base Before Meeting Obama,"TOKYO — Prime Minister Shinzo Abe of Japan said Saturday that he would not immediately ask the Okinawan authorities for approval to begin constructing a long-stalled American air base, casting doubt on his government’s hopes to show progress in a troubled base-relocation plan ahead of his planned trip to Washington later this month.",2013-02-03 02:25:53+00:00
Intervene in Syria,Munich,2013-02-04 12:51:07+00:00
