headline,lead_paragraph,date
Your Tuesday Briefing,Want to get the briefing by email? Here’s the sign-up.,2015-01-20 10:54:58+00:00
Analysis of Obama’s State of the Union Address,"President Obama delivered his State of the Union address on Tuesday night, outlining his agenda in front of a joint session of Congress, which is fully controlled by Republicans for the first time in his presidency. ",2015-01-20 16:48:58+00:00
Your Wednesday Briefing,Good morning.,2015-01-21 10:51:33+00:00
U.S. Seeking a Stronger World Media Voice ,"WASHINGTON — Andrew Lack was sworn in this week as the first chief executive of the Broadcasting Board of Governors, putting him in charge of an agency with a $700 million budget and an outsize influence on shaping world opinion about the United States. Foreign policy experts and some critics say the appointment of Mr. Lack, the former president of NBC News and a prominent news media executive, represents a sea change for the often-criticized agency, which oversees United States government-supported civilian international news media such as Voice of America, Radio Free Europe/Radio Liberty, the Middle East Broadcasting Networks and Radio Free Asia.",2015-01-22 02:17:24+00:00
"Fix the Link to Pakistan, Bond With India","WASHINGTON — President Obama, who is visiting India this weekend, and India’s prime minister, Narendra Modi, have both described their countries as natural partners. That may be true. But they cannot achieve a deep and strategic partnership until the United States deals more forthrightly with Pakistan, New Delhi’s neighbor and nemesis.",2015-01-23 11:25:30+00:00
"In Far-Flung Myanmar, a Land of Contradictions","It is strange how some of the world’s most retrograde authoritarian states end up being such inadvertent conservators of both their country’s architectural heritage and vast tracts of wild, unspoiled nature. Of course, it was not their leaders’ intention to distinguish themselves as environmentalists or conservationists, but by so abjectly failing to develop viable economic engines, they nonetheless had this providential effect.",2015-01-23 14:01:04+00:00
How to Test North Korea,To the Editor:,2015-01-24 01:16:11+00:00
Crusading for Israel in a Way Some Say Is Misguided ,"JERUSALEM — She is a crusading lawyer who serially sues rogue nations, terror groups and international banks to show, as she put it, “there is a price to Jewish blood.” She is a mother of six who, while seven months pregnant with triplets, astonished an Israeli court with a motion requesting that a hearing be moved to her home. (It was denied.).",2015-01-24 02:50:35+00:00
Don’t Blame Nafta ,"On Wednesday, the day after President Obama’s State of the Union address, a handful of Democratic House members, along with one senator, Bernie Sanders of Vermont, held a news conference to denounce one of the very few proposals the president put forward that actually has a chance of passage. The objects of their displeasure were the new trade agreements currently being negotiated by the administration.",2015-01-24 02:53:03+00:00
Obama Clears a Hurdle to Better Ties With India,NEW DELHI — President Obama and his Indian counterpart broke through a five-year impasse on Sunday to pave the way for American companies to build nuclear power plants here as the two countries sought to transform a fraught geopolitical relationship into a fresh partnership for a new era of cooperation.,2015-01-25 08:42:11+00:00
U.S. and India Share Sense of Unease Over China,"NEW DELHI — When President Obama landed here for a three-day visit, he brought a long list of issues to discuss, like energy and trade. But when he and Prime Minister Narendra Modi of India sat down to talk, the first 45 minutes were dominated by just one: China.",2015-01-27 01:35:53+00:00
Your Tuesday Briefing,Good morning.,2015-01-27 10:51:37+00:00
U.S.-India Ties Deepen; China Takes It in Stride,"BEIJING — When Chinese troops provoked a standoff with Indian forces on a disputed border high in the Himalayas just before President Xi Jinping of China arrived in India last year, a pall fell over what was supposed to be a landmark visit.",2015-01-27 15:21:34+00:00
Narendra Modi Replaces India’s Foreign Secretary With Envoy to U.S.,"NEW DELHI — After a visit from President Obama that was widely seen as a success, India has abruptly removed its highest-ranking diplomat and replaced her with its ambassador to the United States.",2015-01-29 11:53:35+00:00
Morning Agenda: Crackdown on Car Title Loans,"CRACKDOWN ON LOANS LINKED TO CARS | Car title loans, which allow owners to borrow money against their cars, are under fire, Jessica Silver-Greenberg and Michael Corkery report in DealBook. On Friday, the Federal Trade Commission is expected to announce that it has reached a settlement with two car title lenders, First American Title Lending and Finance Select, over suspicions that they misled borrowers by failing to accurately disclose the terms and costs of the loans, according to people briefed on the action. The agreement will require the companies, both based in Georgia, to overhaul how they advertise and promote their loans, the people said.",2015-01-30 12:42:46+00:00
Argentina’s President Mocks Chinese Accents During Visit to China,"During a state visit to China on Wednesday, Argentina’s embattled president, Cristina Fernández de Kirchner, risked offending her hosts by joking about their accents on Twitter.",2015-02-04 19:14:18+00:00
Q. and A.: Matt Ferchen on China and the Price of Oil,"The recent global drop in oil prices has made winners of consumers in places like the United States and Japan, and losers of countries that depend heavily on oil exports such as Russia, Iran and Venezuela. China, a leading crude oil importer and the world’s largest energy consumer, has responded to the fall in oil prices — the steepest since 2009 — by going on a buying spree to ensure that its strategic oil reserves at the end of 2014 were twice what they were the year before. Last month, in another move to bolster the country’s supplies, China’s top economic planning agency, the National Development and Reform Commission, directed domestic oil refiners to stock up on crude oil and to provide the government with monthly updates on their inventories.",2015-02-05 04:53:55+00:00
Obama’s Prayer Breakfast Words to Dalai Lama Ruffle China and India,"BEIJING — Prayer breakfast speeches in Washington are rarely, if ever, the source of bruised feelings overseas. Not so this year.",2015-02-06 11:01:47+00:00
Q. and A.: Andrew Small on the China-Pakistan Relationship,"Andrew Small, a policy researcher at the German Marshall Fund of the United States in Washington, explores China’s ties with Pakistan in a new book that delves into the relationship’s history, the Chinese origins of Pakistan’s nuclear weapons, extremism in the two countries and how the future might develop as the United States recedes from Pakistan and Afghanistan.",2015-02-06 12:37:02+00:00
Open-Skies Agreements Challenged,"For more than two decades, domestic airlines and successive administrations have pushed for, and achieved, broad international agreements that have fostered greater competition, lower airfares and more flights to hundreds of destinations like Tokyo, Beijing and Rio de Janeiro.",2015-02-06 14:20:03+00:00
"‘Right of Boom,’ by Benjamin E. Schwartz","Nuclear terrorism has long been a staple of movies and television shows. But typically, Hollywood productions end with the bomb being defused. What would happen if heroes didn’t save the day and the United States experienced the worst 24 hours in its history? ",2015-02-06 16:12:04+00:00
President Xi of China to Make State Visit to Washington,"HONG KONG — President Xi Jinping of China is set to make a state visit to the United States later this year, his first since becoming the top leader of Asia’s biggest economy.",2015-02-09 04:50:15+00:00
"President Xi Jinping to Visit U.S. in September, Chinese Agency Reports","HONG KONG — The first state visit by President Xi Jinping of China to the United States will take place in September, the state-run Xinhua news agency reported Wednesday.",2015-02-11 08:57:24+00:00
"With Lunar New Year Show, Another Link to China for a New York Fireworks Family","Viewed from one angle, a hopeful tableau of Chinese-American relations unfolded over the weekend on a pier in Red Hook, Brooklyn: American and Chinese pyrotechnicians loading three barges with equipment for a major fireworks display in honor of the Lunar New Year, using Chinese-made explosives and American-made hardware.",2015-02-17 03:13:18+00:00
Re: Eddie Huang,"“What did I expect?” the author, chef and television host Eddie Huang asked in Wesley Yang’s Feb. 8 profile. “I expected I could change things.” Specifically, Huang — whose memoir, “Fresh Off the Boat,” has been adapted into a sitcom that had its premiere this month on ABC — wants to change pop-culture depictions of Asian-Americans. “Culturally, we’re in an ice age,” he told Yang.",2015-02-19 04:14:54+00:00
U.S. to Monitor Air Quality in India and Other Countries,"HONG KONG — The United States says it will expand air-quality monitoring at some overseas diplomatic missions, following several years of reporting pollution data in China.",2015-02-19 07:08:42+00:00
Q. and A.: Barnett Rubin on China’s Role in Afghanistan,"In recent months, China has made pronouncements that reveal it is willing, perhaps even eager, to grow its engagement with troubled Afghanistan, whose remote Wakhan Corridor abuts China’s western border. On Feb. 12, while visiting Pakistan, Foreign Minister Wang Yi reiterated China’s desire to play a “constructive role” in a hypothetical peace process.",2015-02-20 13:15:12+00:00
Document Reveals Growth of Cyberwarfare Between the U.S. and Iran,"WASHINGTON — A newly disclosed National Security Agency document illustrates the striking acceleration of the use of cyberweapons by the United States and Iran against each other, both for spying and sabotage, even as Secretary of State John Kerry and his Iranian counterpart met in Geneva to try to break a stalemate in the talks over Iran’s disputed nuclear program.",2015-02-23 01:19:04+00:00
"On Keystone and Climate, Bloomberg Presses Obama to Negotiate with Canada Instead of Congress","Former New York City Mayor Michael R. Bloomberg, now a United Nations climate envoy, has laid out a wise path for President Obama that could sidestep the political morass surrounding Canada’s oil-rich Alberta tar (sands) pits and the proposed Keystone XL pipeline.",2015-02-25 14:12:40+00:00
Deterring an Iranian Nuclear Breakout,"WASHINGTON — When Prime Minister Benjamin Netanyahu of Israel addresses a joint session of Congress on Tuesday, he can be expected to argue that any nuclear deal with Iran should eliminate its capability to produce nuclear weapons, not just aim to prevent Iran from producing them. But such an accord is neither achievable nor necessary to safeguard the security of the United States and its friends in the Middle East.",2015-02-26 10:26:50+00:00
How Liberalism and Racism Are Wed,"This is the seventh in a series of interviews with philosophers on race that I am conducting for The Stone. This week’s conversation is with Falguni A. Sheth, an associate professor of philosophy and political theory at Hampshire College. She is the author of “Toward a Political Philosophy of Race.” — George Yancy",2015-02-27 08:35:36+00:00
Bloomberg Sees a Way on Keystone,"No one can question Michael Bloomberg’s climate change bona fides. As mayor of New York, he declared that cities had to lead the way in reducing the threat of climate change, and he strove to make New York greener. He has donated millions of dollars to the effort to shut down coal-fired power plants. He endorsed President Obama for re-election in 2012 primarily because the president, he said, “has taken major steps to reduce our carbon consumption.” Most recently, he was named the United Nations secretary general’s special envoy for cities and climate change, a position he appears to be taking quite seriously.",2015-02-28 03:23:28+00:00
"For the U.S. and China, a Test of Diplomacy on South Sudan","UNITED NATIONS — The United States may have midwifed the birth of South Sudan, the world’s youngest nation. But China has quickly become among its most important patrons, building its roads and pumping its oil.",2015-03-03 01:30:44+00:00
Your Tuesday Briefing,Good morning.,2015-03-03 10:45:18+00:00
What Bibi Didn’t Say ,"Now that Israeli Prime Minister Benjamin Netanyahu has made his case on Iran before Congress, with all the circus atmosphere it involved, let’s get to the serious questions: What is America’s interest in striking a deal with Iran? Because our interests and Israel’s are not fully aligned. What is the minimum we need to satisfy our interests? And how should we balance the critiques of our policy from the serious Bibi versus the cynical Bibi? ",2015-03-04 01:59:27+00:00
Atomic Dilemma: Debating How to Prevent Iran From Developing Nuclear Weapons,"Overview |  The United States, Israel, Saudi Arabia and other allies agree that Iran must not be allowed to develop a nuclear weapon. But beyond that consensus, there is a fundamental split in what is the best way to achieve that goal. Is it diplomacy? Is it punishment, in the form of economic sanctions, and threats, in the form of imminent military action? And even if negotiations yield an agreement, will a country like Iran, with which the United States has had no formal relations since 1979, abide by an agreement, or will it simply use the accord as a cover for producing a breakout weapon? These are tough questions. And the best answer is up for debate — the kind of complex real-world debate students can participate in, write about and learn from in this lesson. ",2015-03-04 19:30:17+00:00
"In a Test of Wills, Japanese Fighter Pilots Confront Chinese ","NAHA, Japan — Once a sleepy, sun-soaked backwater, this air base on the southern island of Okinawa has become the forefront of a dangerous test of wills between two of Asia’s largest powers, Japan and China.",2015-03-09 00:51:52+00:00
South Koreans Divided on Reactions to Knife Attack on U.S. Ambassador Mark Lippert,"SEOUL, South Korea — The knife attack last week on the American ambassador to South Korea, Mark W. Lippert, set off an outpouring of good wishes here for both the envoy and Seoul’s alliance with Washington.",2015-03-09 12:17:33+00:00
British Leader Diverges From U.S. on China Policy and Military Spending,"LONDON — The “special relationship” with Britain has been a cornerstone of American policy for generations, but in a tough election campaign, David Cameron, Britain’s Conservative prime minister, has distanced himself from the United States on two critically important issues — military spending and China.",2015-03-14 00:05:44+00:00
3 European Powers Say They Will Join China-Led Bank,"BRUSSELS — Ignoring direct pleas from the Obama administration, Europe’s biggest economies have declared their desire to become founding members of a new Chinese-led Asian investment bank that the United States views as a rival to the World Bank and other institutions set up at the height of American power after World War II.",2015-03-17 13:30:58+00:00
Ghani’s Gambit,"President Ashraf Ghani of Afghanistan is taking a risk most leaders would shun: He is proposing to improve Afghanistan’s contentious relations with Pakistan in the hope of paving the way toward both peace with the Taliban and regional economic cooperation. Much of the Afghan public is skeptical, because Pakistan has long treated Afghanistan like a client state. Mr. Ghani will need to show results fast. ",2015-03-18 12:06:53+00:00
Your Thursday Briefing,(Want to get the Morning Briefing in your inbox first thing? Sign up.),2015-03-19 09:47:18+00:00
The Gains From Ukraine,"WASHINGTON — No doubt the war in Ukraine, which has claimed more than 6,000 lives and internally displaced more than one million people, is a large-scale human tragedy. Yet President Vladimir Putin of Russia’s adventurism and President Obama’s restrained response are not, as some commentators have suggested, evidence that the world’s security architecture is collapsing. ",2015-03-19 12:08:33+00:00
Hostility From U.S. as China Lures Allies to New Bank,"BEIJING — When Xi Jinping, then the newly minted Chinese leader, first broached the idea of a new Asian development bank in a public speech in 2013, few in Washington paid it much heed.",2015-03-20 02:08:25+00:00
Latest Iran Talks End Without a Deal,"LAUSANNE, Switzerland — An intensive round of talks on limiting Iran’s nuclear program ended abruptly on Friday with the two sides still divided over some important issues.",2015-03-20 14:58:40+00:00
"Morning Agenda: Oil Prices Fall, but Airfares Stay High","OIL PRICES FALL, BUT AIRFARES STAY HIGH  | A spate of mergers has left the nation’s airline industry “increasingly looking like an uncompetitive oligopoly,” writes Andrew Ross Sorkin in the DealBook column . Evidence of that can be seen in the fact that while oil prices have plummeted, fares have not dropped.",2015-03-24 11:29:35+00:00
"In Nuclear Talks, Iran Seeks to Avoid Specifics","PARIS — If an agreement to limit Iran’s nuclear capability is reached by deadline in the next seven days, one thing may be missing: an actual written accord, signed by the Iranians.",2015-03-25 01:15:03+00:00
"Iran Nuclear Deal May Be Done by Next Week, U.S. Official Says","LAUSANNE, SWITZERLAND — In the Obama administration’s most hopeful prognosis on its talks with Iran, a senior State Department official said Wednesday that it was possible to conclude a new accord on that nation’s nuclear program by early next week.",2015-03-26 04:07:16+00:00
"Hurdles Loom in Iran Nuclear Talks, U.S. Official Says ","LAUSANNE, Switzerland — A senior State Department official said Friday night that the negotiations over Iran’s nuclear program had turned difficult and that an initial accord would not be possible unless the Iranian leadership made “tough decisions” over the coming days.",2015-03-27 23:57:59+00:00
Stampede to Join China’s Development Bank Stuns Even Its Founder,"BEIJING — The sudden rush to join China’s new Asian development bank by this week’s deadline, including last-minute applications by countries hardly considered Beijing’s best friends, astonished even the Chinese.",2015-04-02 13:50:21+00:00
Young Guns Are Driving Formula One’s Next Revolution,"If Formula One started a technical revolution last season with quieter, more efficient hybrid engines, this season the series appears to be revolutionizing the notion of what it takes to be a driver. ",2015-04-10 10:50:14+00:00
"Stressing Youth, Marco Rubio Joins 2016 Field","MIAMI — Senator Marco Rubio, the 43-year-old son of Cuban immigrants, on Monday declared that it was time for his generation to lead the country, portraying himself as the youthful future of a Republican Party that has struggled to connect with an increasingly diverse electorate.",2015-04-14 01:23:29+00:00
"‘To Kill a Mockingbird’ Is a Stage Hit at Home in Monroeville, Ala.","MONROEVILLE, Ala. — Each April and May during “play season,” as locals call it, the hotels in this town of 6,300 routinely sell out on weekends. Lines form at the restaurants. The charter buses carrying ticketholders stream off the Interstate, passing tractors chugging along in the slow lane of U.S. Route 84.",2015-04-14 21:04:47+00:00
What’s Up With You?,"While U.S.-Iran relations are taking up all the oxygen in the room these days, and they’re vitally important for the future of the Middle East, U.S.-China relations are vitally important for the world — and there’s more going on there than meets the eye. The concept of “one country, two systems” was invented to describe the relationship between Hong Kong and mainland China. But here’s the truth: the American and Chinese economies and futures today are now totally intertwined, so much so that they are the real “one country-two systems” to watch. And after recently being in China to attend the big Boao Forum on Hainan Island, and hearing President Xi Jinping speak, what is striking is how much each side in this relationship currently seems to be asking the other, “What’s up with you?”",2015-04-15 07:21:05+00:00
Turmoil at Voice of America Is Seen as Hurting U.S. Ability to Counter Propaganda,"WASHINGTON — When David Ensor announced last week that he was stepping down as the director of the Voice of America, critics saw the move as the latest sign of turmoil at the government agency that is charged with presenting America’s viewpoint to the world.",2015-04-15 09:26:12+00:00
Iran Assails U.S. Plan for a Vote in Congress,"TEHRAN — Iran’s president on Wednesday dismissed the compromise worked out between the Obama administration and Congress over an impending nuclear agreement as internal American politics, saying the Iranians were negotiating with six countries, not just with the United States.",2015-04-15 15:40:08+00:00
"Iran Is Raising Sophistication and Frequency of Cyberattacks, Study Says","WASHINGTON — In February, a year after the Las Vegas Sands was hit by a devastating cyberattack that ruined many of the computers running its casino and hotel operations, the director of national intelligence, James R. Clapper Jr., publicly told Congress what seemed obvious: Iranian hackers were behind the attack.",2015-04-16 01:07:00+00:00
