headline,lead_paragraph,date
U.S. Weighs Tighter Sanctions on North Korea if China Fails to Act,"SEOUL, South Korea — The United States and its allies will bolster sanctions and go on the defensive against North Korea in ways that China may not like if Beijing fails to lend greater support to efforts to curb the North’s nuclear ambitions, a top American diplomat said here on Wednesday.",2016-01-20 08:17:48+00:00
North Korea Says It’s Holding U.S. Student for ‘Hostile Act’,HONG KONG — North Korean state news media said Friday that a university student from the United States who had entered the country as a tourist was being held for “a hostile act.”,2016-01-22 10:37:38+00:00
"U.S. Student’s Detention by North Korea Was a Surprise, Tour Group Says","HONG KONG — An American student who is being detained by North Korea did nothing obvious during a five-day trip to the country that would have angered the authorities, a member of his tour group said Saturday.",2016-01-23 16:07:35+00:00
U.S. Relies Heavily on Saudi Money to Support Syrian Rebels,"WASHINGTON — When President Obama secretly authorized the Central Intelligence Agency to begin arming Syria’s embattled rebels in 2013, the spy agency knew it would have a willing partner to help pay for the covert operation. It was the same partner the C.I.A. has relied on for decades for money and discretion in far-off conflicts: the Kingdom of Saudi Arabia.",2016-01-23 16:30:07+00:00
China Considers Larger Role in Afghanistan Peace Process,"BEIJING — As a  bloody offensive by the Taliban spreads in Afghanistan and with American combat operations there officially ended, anxious Chinese leaders find themselves under pressure to take a more active role in the long-stalled peace process, according to scholars and current and former diplomats.",2016-01-25 00:40:23+00:00
Donald Trump Goes Rogue,"I used to think 2015 was bad but that was before the first few weeks of 2016. It’s still January and Donald Trump, the leading candidate for the Republican nomination, has already said, “I could stand in the middle of Fifth Avenue and shoot somebody, and I wouldn’t lose any voters, O.K.?”",2016-01-25 10:37:32+00:00
"The Dollar Keeps Rising, for Good or Evil","Just the other day I got an email in which Ron Paul, libertarian icon, former member of Congress from Texas and father of the Republican presidential candidate Rand Paul, eagerly proclaimed that his “final prediction of a dollar collapse is about to become reality.”",2016-01-26 20:57:24+00:00
John Kerry Urges China to Curb North Korea’s Nuclear Pursuits,"BEIJING — Secretary of State John Kerry warned China on Wednesday that North Korea was moving ahead with an effort to manufacture a nuclear weapon small enough to fit atop a long-range missile that could reach American shores, and said the United States “will do what is necessary to protect the people of our country.”",2016-01-27 13:26:34+00:00
So What Would It Mean to ‘Beat China’ on Trade?,"If you were Donald Trump, you would probably summarize the academic paper’s finding as follows: China is beating us.",2016-01-28 08:30:23+00:00
"Unions Lean Democratic, but Donald Trump Gets Members’ Attention","WASHINGTON — Of all the voters who might be expected to resist the charms of Donald J. Trump, the two million members of the Service Employees International Union would most likely be near the top of the list.",2016-01-29 17:53:49+00:00
8 New Destination Hotels for 2016,"Hotel openings might seem like everyday events, but a handful come with more excitement and anticipation than the rest. They may be in a particularly notable building, bring a fresh concept to an already-popular destination or have the potential to attract travelers to a location they may not have thought of visiting. With these factors in mind, we turned to travel professionals who check out new properties for a living and picked eight names worth checking into in 2016 (excluded from the list below are hotels that are reopening after a renovation, as with the Ritz Paris).",2016-02-02 16:30:06+00:00
Activity at North Korea Site Suggests Preparations for Rocket Launch,"SEOUL, South Korea — Increased vehicle activity has been detected at North Korea’s rocket launch site near its northwestern border with China, which could be a sign of preparations for the launch Pyongyang said it would conduct this month, according to a United States website that monitors the North.",2016-02-04 05:01:44+00:00
Congresswoman’s Long Quest: Bringing Pandas to New York,"It is an obsession that has taken her to the other side of the world, one that has turned casual conversations into arm-twisting negotiations, and innocuous radio chitchat into a stealth attack on the mayor of New York.",2016-02-04 10:00:27+00:00
What You Missed in the Debate,"Here’s how we analyzed the fifth Democratic debate in real time, and our live fact checks.",2016-02-05 01:46:28+00:00
Transcript of the Democratic Presidential Debate,"Following is a transcript of the Democratic debate, as transcribed by the Federal News Service.",2016-02-05 05:14:57+00:00
Transcript of the Republican Presidential Debate,"Following is a transcript of the Republican debate, as transcribed by the Federal News Service.",2016-02-07 04:50:45+00:00
China Struggles for Balance in Response to North Korea’s Boldness,"BEIJING — When the veteran Chinese diplomat Wu Dawei left for North Korea last week, he probably knew he had been dispatched on mission impossible: to persuade the country’s young leader, Kim Jong-un, to climb down from his threat to launch a rocket as part of his quest to develop ballistic missile technologies.",2016-02-07 17:51:08+00:00
Foreign Policy Questions Push Bernie Sanders Out of Comfort Zone,"WASHINGTON — Senator Bernie Sanders of Vermont was asked on Sunday about the North Korean missile launch that took place while he was appearing the previous night on “Saturday Night Live,” and he answered without once discussing how he would contain or confront the renegade nuclear state, or persuade China to control its ally.",2016-02-08 19:39:22+00:00
